placeDcid,placeName,Date:Median_Age_Person,Value:Median_Age_Person,Source:Median_Age_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Count_HousingUnit,Value:Count_HousingUnit,Source:Count_HousingUnit,Date:Monthly_Median_GrossRent_HousingUnit,Value:Monthly_Median_GrossRent_HousingUnit,Source:Monthly_Median_GrossRent_HousingUnit
zip/10001,10001,2017,35.3,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,60412,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,23947,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,13836,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10002,10002,2017,41.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,19311,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,77925,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,35803,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10003,10003,2017,32.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,65568,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,55035,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,31083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10004,10004,2017,35.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,101932,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,2990,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,2044,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10005,10005,2017,30.2,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,86143,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,8680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,5442,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10006,10006,2017,30.7,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,96144,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,3579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,2167,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10007,10007,2017,35.4,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,124971,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,7036,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,3188,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10009,10009,2017,36.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,41203,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,60141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,31256,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10010,10010,2017,34.6,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,74000,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33119,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,17847,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/10011,10011,2017,39.8,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,76883,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,50711,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2017,33543,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
